name,accuracy,f1,confusion_matrix,training_time,epochs,min_loss,datetime,MAF method,dataset,breaks,mult_rules,all_losses,clustering_alg,label_for_dist
"kmeans_gaussian_df.csv, 3 single breaks, maf_method=kmeans",0.977777778,0.977777778,"[[22  1]
 [ 0 22]]",5.519326925,107,0.007960083,24-04-24 1:33,,,,,,,
"kmeans_rectangle_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[50  0]
 [ 0 64]]",16.63787246,174,0.006228396,24-04-24 1:33,,,,,,,
"kmeans_uniform_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[19  0]
 [ 0 26]]",4.604831457,117,0.0520734,24-04-24 1:34,,,,,,,
"kmeans_breast-cancer-wisconsin.csv, 3 single breaks, maf_method=kmeans",1,0,[[205]],0.939728498,4,0.004182586,24-04-24 1:42,,,,,,,
"kmeans_gaussian_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[77  0]
 [ 0 73]]",14.33851266,101,0.014904211,24-04-24 1:43,,,,,,,
"kmeans_rectangle_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[160   0]
 [  0 219]]",62.69760466,165,0.006103256,24-04-24 1:46,,,,,,,
"kmeans_uniform_df.csv, 3 single breaks, maf_method=kmeans",0.993333333,0.992366412,"[[84  0]
 [ 1 65]]",22.05521536,159,0.008975599,24-04-24 1:47,,,,,,,
"kmeans_wine.csv, 3 single breaks, maf_method=kmeans",0.952820513,0.957759412,"[[ 815   16]
 [  76 1043]]",110.3263025,55,0.030228086,24-04-24 1:55,,,,,,,
"kmeans_breast-cancer-wisconsin.csv, 3 single breaks, maf_method=random",0.995121951,0,"[[204   0]
 [  1   0]]",8.905010939,50,0.005886117,24-04-24 1:59,,,,,,,
"kmeans_breast-cancer-wisconsin.csv, 3 single breaks, maf_method=kmeans",0.995121951,0,"[[204   0]
 [  1   0]]",1.158359051,4,0.002091286,24-04-24 1:59,,,,,,,
"kmeans_gaussian_df.csv, 3 single breaks, maf_method=random",1,1,"[[78  0]
 [ 0 72]]",43.79161143,266,0.01945539,24-04-24 2:00,,,,,,,
"kmeans_gaussian_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[78  0]
 [ 0 72]]",19.33867168,101,0.012179675,24-04-24 2:00,,,,,,,
"kmeans_rectangle_df.csv, 3 single breaks, maf_method=random",1,1,"[[174   0]
 [  0 205]]",93.15139318,276,0.007786208,24-04-24 2:02,,,,,,,
"kmeans_rectangle_df.csv, 3 single breaks, maf_method=kmeans",1,1,"[[174   0]
 [  0 205]]",58.33064151,169,0.006105236,24-04-24 2:03,,,,,,,
"kmeans_uniform_df.csv, 3 single breaks, maf_method=random",0.973333333,0.96969697,"[[82  0]
 [ 4 64]]",34.64606261,282,0.013054575,24-04-24 2:03,,,,,,,
"kmeans_uniform_df.csv, 3 single breaks, maf_method=kmeans",0.973333333,0.96969697,"[[82  0]
 [ 4 64]]",21.57329178,149,0.011406961,24-04-24 2:04,,,,,,,
"kmeans_wine.csv, 3 single breaks, maf_method=random",0.957435897,0.960719356,"[[ 852    4]
 [  79 1015]]",436.628324,148,0.038973303,24-04-24 2:11,,,,,,,
"kmeans_wine.csv, 3 single breaks, maf_method=kmeans",0.954358974,0.95823557,"[[ 840   16]
 [  73 1021]]",153.9599733,61,0.036293105,24-04-24 2:14,,,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled), 3 single breaks",0.663414634,0.797653959,"[[  0  69]
 [  0 136]]",27.85726881,106,0.016209116,25-04-24 1:02,random,kmeans_breast-cancer-wisconsin,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled), 3 single breaks",0.663414634,0.797653959,"[[  0  69]
 [  0 136]]",26.45155334,63,0.008539327,25-04-24 1:02,kmeans,kmeans_breast-cancer-wisconsin,,,,,
"kmeans_gaussian_df.csv (scaled), 3 single breaks",0.96,0.958333333,"[[75  6]
 [ 0 69]]",67.75736499,254,0.021854712,25-04-24 1:03,random,kmeans_gaussian_df,,,,,
"kmeans_gaussian_df.csv (scaled), 3 single breaks",0.76,0.793103448,"[[45 36]
 [ 0 69]]",35.38225722,97,0.014426891,25-04-24 1:04,kmeans,kmeans_gaussian_df,,,,,
"kmeans_rectangle_df.csv (scaled), 3 single breaks",0.957783641,0.959390863,"[[174  12]
 [  4 189]]",301.4511209,296,0.041688923,25-04-24 1:09,random,kmeans_rectangle_df,,,,,
"kmeans_rectangle_df.csv (scaled), 3 single breaks",0.957783641,0.959390863,"[[174  12]
 [  4 189]]",231.8197203,170,0.040258881,25-04-24 1:13,kmeans,kmeans_rectangle_df,,,,,
"kmeans_uniform_df.csv (scaled), 3 single breaks",0.966666667,0.967320261,"[[71  5]
 [ 0 74]]",80.24378276,308,0.010404629,25-04-24 1:14,random,kmeans_uniform_df,,,,,
"kmeans_uniform_df.csv (scaled), 3 single breaks",0.873333333,0.886227545,"[[57 19]
 [ 0 74]]",61.24521899,153,0.008907344,25-04-24 1:15,kmeans,kmeans_uniform_df,,,,,
"kmeans_wine.csv (scaled), 3 single breaks",0.909230769,0.939693356,"[[ 394   82]
 [  95 1379]]",561.3488312,102,0.01915202,25-04-24 1:25,random,kmeans_wine,,,,,
"kmeans_wine.csv (scaled), 3 single breaks",0.925128205,0.950508475,"[[ 402   74]
 [  72 1402]]",139.7746849,49,0.013537716,25-04-24 1:27,kmeans,kmeans_wine,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled (this time for real)), 3 single breaks",0.643902439,0.783382789,"[[  0  73]
 [  0 132]]",59.76004243,117,0.01962461,25-04-24 1:47,random,kmeans_breast-cancer-wisconsin,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled (this time for real)), 3 single breaks",0.643902439,0.783382789,"[[  0  73]
 [  0 132]]",23.45621753,72,0.012472797,25-04-24 1:47,kmeans,kmeans_breast-cancer-wisconsin,,,,,
"kmeans_gaussian_df.csv (scaled (this time for real)), 3 single breaks",0.966666667,0.968152866,"[[69  5]
 [ 0 76]]",67.99311471,250,0.021241141,25-04-24 1:48,random,kmeans_gaussian_df,,,,,
"kmeans_gaussian_df.csv (scaled (this time for real)), 3 single breaks",0.78,0.821621622,"[[41 33]
 [ 0 76]]",10.25566745,96,0.014319935,25-04-24 1:48,kmeans,kmeans_gaussian_df,,,,,
"kmeans_rectangle_df.csv (scaled (this time for real)), 3 single breaks",0.952506596,0.952631579,"[[180  13]
 [  5 181]]",123.3352289,283,0.041811556,25-04-24 1:50,random,kmeans_rectangle_df,,,,,
"kmeans_rectangle_df.csv (scaled (this time for real)), 3 single breaks",0.952506596,0.952631579,"[[180  13]
 [  5 181]]",65.18933773,156,0.03991247,25-04-24 1:51,kmeans,kmeans_rectangle_df,,,,,
"kmeans_uniform_df.csv (scaled (this time for real)), 3 single breaks",0.946666667,0.952941176,"[[61  8]
 [ 0 81]]",78.09430504,286,0.015744841,25-04-24 1:53,random,kmeans_uniform_df,,,,,
"kmeans_uniform_df.csv (scaled (this time for real)), 3 single breaks",0.846666667,0.875675676,"[[46 23]
 [ 0 81]]",42.84225607,143,0.013349093,25-04-24 1:53,kmeans,kmeans_uniform_df,,,,,
"kmeans_wine.csv (scaled (this time for real)), 3 single breaks",0.922051282,0.947075209,"[[ 438   79]
 [  73 1360]]",427.4399595,104,0.018742472,25-04-24 2:01,random,kmeans_wine,,,,,
"kmeans_wine.csv (scaled (this time for real)), 3 single breaks",0.924102564,0.948930297,"[[ 427   90]
 [  58 1375]]",121.1174204,52,0.013368959,25-04-24 2:03,kmeans,kmeans_wine,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled), 3 single breaks, add_mult_rules, maf_method=random",0.697560976,0.82183908,"[[  0  62]
 [  0 143]]",25.99435186,97,0.015997212,26-04-24 14:43,random,kmeans_breast-cancer-wisconsin,,,,,
"kmeans_breast-cancer-wisconsin.csv (scaled), 3 single breaks, add_mult_rules, maf_method=kmeans",0.697560976,0.82183908,"[[  0  62]
 [  0 143]]",3.593552589,13,0.019000476,26-04-24 14:43,kmeans,kmeans_breast-cancer-wisconsin,,,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.954827281,0.949654492,"[[597  18]
 [ 33 481]]",13.18924356,143,0.018575637,26-04-24 19:37,random,Brain Tumor,,,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.968999114,0.966118103,"[[595  20]
 [ 15 499]]",10.92465687,86,0.015019707,26-04-24 19:37,kmeans,Brain Tumor,,,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.975199291,0.97188755,"[[617   5]
 [ 23 484]]",19.57986522,170,0.018269818,26-04-24 19:44,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.426576853,4,0.419663608,26-04-24 19:44,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.845000505,4,0.419663608,26-04-24 19:47,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.992705584,4,0.419663608,26-04-24 19:47,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.87725544,4,0.419663608,26-04-24 19:48,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.974313552,0.970970971,"[[615   7]
 [ 22 485]]",17.24343753,160,0.018319258,26-04-24 19:48,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.983170948,0.981132075,"[[616   6]
 [ 13 494]]",56.82348609,80,0.024734944,26-04-24 19:51,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.984056687,0.982035928,"[[619   3]
 [ 15 492]]",127.3100016,137,0.029310698,26-04-24 19:53,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.983170948,0.981132075,"[[616   6]
 [ 13 494]]",61.12778616,80,0.024734944,26-04-24 19:55,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.984942427,0.983050847,"[[619   3]
 [ 14 493]]",86.98929,123,0.028339922,26-04-24 19:56,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.112295151,4,0.399985164,26-04-24 20:14,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.938883968,0.931206381,"[[593  29]
 [ 40 467]]",2.087054729,65,0.005495593,26-04-24 20:14,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.550930027,0,"[[622   0]
 [507   0]]",0.205988884,4,0.399985164,26-04-24 20:15,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.925597874,0.916996047,"[[581  41]
 [ 43 464]]",6.308354139,73,0.006296782,26-04-24 20:15,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.976085031,0.972972973,"[[616   6]
 [ 21 486]]",171.5978434,89,0.018616658,26-04-24 20:19,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.97785651,0.974874372,"[[619   3]
 [ 22 485]]",264.9982295,126,0.024796518,26-04-24 20:23,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.931798051,0.922300706,"[[595  49]
 [ 28 457]]",1.474070072,72,0.001360311,26-04-24 20:47,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.86891054,0.866666667,"[[500 144]
 [  4 481]]",4.003261805,103,0.007338072,26-04-24 20:47,random,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=True, maf_method=kmeans",0.905225864,0.897016362,"[[556  88]
 [ 19 466]]",3.389321089,40,0.000182641,26-04-24 20:49,kmeans,Brain Tumor,3,TRUE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=True, maf_method=random",0.889282551,0.883068288,"[[532 112]
 [ 13 472]]",3.985200405,35,0.000947984,26-04-24 20:49,random,Brain Tumor,3,TRUE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=True, maf_method=kmeans",0.984056687,0.981443299,"[[635   9]
 [  9 476]]",194.117445,57,0.02202527,26-04-24 20:54,kmeans,Brain Tumor,3,TRUE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=True, maf_method=random",0.984942427,0.982492276,"[[635   9]
 [  8 477]]",192.4615283,62,0.020997612,26-04-24 20:57,random,Brain Tumor,3,TRUE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.975199291,0.970833333,"[[635   9]
 [ 19 466]]",288.094734,69,0.033077646,26-04-24 21:24,kmeans,Brain Tumor,3,FALSE,,,
"dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.982285208,0.979338843,"[[635   9]
 [ 11 474]]",394.8115311,137,0.026403477,26-04-24 21:30,random,Brain Tumor,3,FALSE,,,
"ignore this dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.883082374,0.873804971,"[[540  85]
 [ 47 457]]",0.61139679,51,0.002331932,27-04-24 13:37,kmeans,Brain Tumor,3,FALSE,,,
"ignore this dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.911426041,0.907063197,"[[541  84]
 [ 16 488]]",1.993139267,143,0.008162853,27-04-24 13:37,random,Brain Tumor,3,FALSE,,,
"ignore this dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=kmeans",0.693534101,0.512676056,"[[601  36]
 [310 182]]",0.706403494,66,0.000583283,27-04-24 13:38,kmeans,Brain Tumor,3,FALSE,,,
"ignore this dataset=Brain Tumor, breaks=3, add_mult_rules=False, maf_method=random",0.91408326,0.892580288,"[[629   8]
 [ 89 403]]",0.766599178,74,0.006715228,27-04-24 13:38,random,Brain Tumor,3,FALSE,,,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=kmeans",0.516063146,0,"[[12128     0]
 [11373     0]]",0.384712934,4,0.800000012,27-04-24 13:49,kmeans,Telecom_customer churn,3,FALSE,"[0.800000011920929, 0.800000011920929, 0.800000011920929, 0.800000011920929]",,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=random",0.48474533,0.630496476,"[[ 1061 11067]
 [ 1042 10331]]",0.96827054,31,0.004216013,27-04-24 13:49,random,Telecom_customer churn,3,FALSE,"[0.2533370852470398, 0.17654894292354584, 0.13789591193199158, 0.11928609758615494, 0.1096482127904892, 0.10461320728063583, 0.10194087028503418, 0.10042794793844223, 0.09947767108678818, 0.0988241583108902, 0.09832821786403656, 0.09790954738855362, 0.09750821441411972, 0.0970749706029892, 0.09655977785587311, 0.09590701758861542, 0.09504202008247375, 0.09385543316602707, 0.09217836707830429, 0.08973940461874008, 0.08609776198863983, 0.08063546568155289, 0.07249078154563904, 0.06072133779525757, 0.04523326829075813, 0.028434205800294876, 0.014929568395018578, 0.007480700500309467, 0.004712337628006935, 0.004104732535779476, 0.004216012544929981]",,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=kmeans",0.516063146,0,"[[12128     0]
 [11373     0]]",197.1678953,4,0.485127574,27-04-24 14:02,kmeans,Telecom_customer churn,3,FALSE,"[0.48512757388603167, 0.48512757388603167, 0.48512757388603167, 0.48512757388603167]",,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=random",0.581719927,0.543385359,"[[7822 4306]
 [5524 5849]]",417.2978215,9,0.237207637,27-04-24 14:09,random,Telecom_customer churn,3,FALSE,"[0.2634482234950125, 0.2465786426042525, 0.24100129069563112, 0.238913837715326, 0.23807018638959415, 0.2376196172110193, 0.23739453636908384, 0.23728308119536765, 0.2372076367450552]",,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=kmeans",0.516573763,0,"[[12140     0]
 [11361     0]]",134.9298151,4,0.485346418,27-04-24 14:29,kmeans,Telecom_customer churn,3,FALSE,"[0.4853464177592133, 0.4853464177592133, 0.4853464177592133, 0.4853464177592133]",,
"dataset=Telecom_customer churn, breaks=3, add_mult_rules=False, maf_method=random",0.586783541,0.571466396,"[[7315 4825]
 [4886 6475]]",337.4966748,10,0.237700648,27-04-24 14:35,random,Telecom_customer churn,3,FALSE,"[0.2709612977822575, 0.2493264529245803, 0.24283299713996945, 0.24026288328101555, 0.23901270566161992, 0.2384642108867503, 0.23811169484061545, 0.23789846384023963, 0.23777799125001034, 0.23770064771623237]",,
"igonre this dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=kmeans",0.509666667,0,"[[1529    0]
 [1471    0]]",16.66448808,4,0.487571427,27-04-24 19:01,kmeans,Telecom_customer churn,3,FALSE,"[0.48757142680031906, 0.48757142680031906, 0.48757142680031906, 0.48757142680031906]",,
"igonre this dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=random",0.568666667,0.548499651,"[[920 609]
 [685 786]]",152.751477,30,0.234232136,27-04-24 19:04,random,Telecom_customer churn,3,FALSE,"[0.28064046587262836, 0.26600033044815063, 0.26318372998918804, 0.2583857945033482, 0.25355367575372967, 0.24914510760988506, 0.2482118010520935, 0.24592612258025578, 0.24381022155284882, 0.24192358340535844, 0.2413804829120636, 0.24041924519198282, 0.23938156238624028, 0.23844346404075623, 0.23809673530714853, 0.23755274713039398, 0.23700647907597677, 0.23652982073170797, 0.23636786852564132, 0.23601472164903367, 0.23570607815470013, 0.23544731523309437, 0.23530900265489307, 0.23506795295647212, 0.23486140370368958, 0.2347443380526134, 0.23460917174816132, 0.234457077724593, 0.23432327594075886, 0.23423213618142263]",,
"igonre this dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=clustering",0.56587473,0.365930599,"[[204  42]
 [159  58]]",8.647443771,9,0.352420956,27-04-24 19:59,clustering,Telecom_customer churn,3,FALSE,"[0.3803292512893677, 0.3749280571937561, 0.3689953088760376, 0.36263519525527954, 0.3578175902366638, 0.3524114191532135, 0.3515532910823822, 0.3493081331253052, 0.35242095589637756]",,
"igonre this dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=random",0.505399568,0.632423756,"[[ 37 209]
 [ 20 197]]",9.463413239,4,0.281389952,27-04-24 20:00,random,Telecom_customer churn,3,FALSE,"[0.33330345153808594, 0.2861821949481964, 0.2783960700035095, 0.2813899517059326]",,
"dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=clustering",0.56587473,0.365930599,"[[204  42]
 [159  58]]",4.518141985,9,0.352420956,27-04-24 20:03,clustering,Telecom_customer churn,3,FALSE,"[0.3803292512893677, 0.3749280571937561, 0.3689953088760376, 0.36263519525527954, 0.3578175902366638, 0.3524114191532135, 0.3515532910823822, 0.3493081331253052, 0.35242095589637756]",,
"dataset=Telecom_customer churn, clust=dbscan breaks=3, add_mult_rules=False, maf_method=random",0.609071274,0.593258427,"[[150  96]
 [ 85 132]]",61.69876027,127,0.184776992,27-04-24 20:04,random,Telecom_customer churn,3,FALSE,"[0.2721230089664459, 0.2673910856246948, 0.25513744354248047, 0.2541256844997406, 0.25251466035842896, 0.24692219495773315, 0.24258270859718323, 0.24013349413871765, 0.23671923577785492, 0.2327384650707245, 0.2302199900150299, 0.22855764627456665, 0.22611741721630096, 0.22352848947048187, 0.22196151316165924, 0.22081845998764038, 0.21919451653957367, 0.21750123798847198, 0.21622999012470245, 0.21496708691120148, 0.2133907675743103, 0.21196119487285614, 0.2110554724931717, 0.21035830676555634, 0.2095016986131668, 0.20864732563495636, 0.20793864130973816, 0.20716722309589386, 0.20624689757823944, 0.20544734597206116, 0.2048877328634262, 0.20437650382518768, 0.2038211226463318, 0.20333051681518555, 0.20291270315647125, 0.2024376541376114, 0.2019103765487671, 0.2014557123184204, 0.20106226205825806, 0.2006358504295349, 0.20020821690559387, 0.19984132051467896, 0.19948601722717285, 0.19909967482089996, 0.1987314373254776, 0.19840408861637115, 0.19806620478630066, 0.1977185308933258, 0.1974099576473236, 0.19712454080581665, 0.19683103263378143, 0.19654740393161774, 0.19628560543060303, 0.1960175335407257, 0.1957402229309082, 0.19547994434833527, 0.19523221254348755, 0.19498354196548462, 0.19474592804908752, 0.19451972842216492, 0.1942889541387558, 0.19405637681484222, 0.19383437931537628, 0.1936175674200058, 0.19340312480926514, 0.19320037961006165, 0.1930023431777954, 0.19280438125133514, 0.19261115789413452, 0.1924223154783249, 0.19223429262638092, 0.19204838573932648, 0.19186770915985107, 0.19168975949287415, 0.19151394069194794, 0.19134123623371124, 0.19117087125778198, 0.19100147485733032, 0.19083429872989655, 0.19066956639289856, 0.190507173538208, 0.1903465837240219, 0.19018904864788055, 0.19003450870513916, 0.18988138437271118, 0.18973098695278168, 0.18958212435245514, 0.18943430483341217, 0.18928839266300201, 0.18914425373077393, 0.1890016496181488, 0.18886134028434753, 0.18872247636318207, 0.18858447670936584, 0.18844786286354065, 0.18831276893615723, 0.18817879259586334, 0.18804684281349182, 0.18791711330413818, 0.18778909742832184, 0.18766279518604279, 0.18753844499588013, 0.1874152570962906, 0.18729330599308014, 0.18717259168624878, 0.18705298006534576, 0.1869344711303711, 0.1868169754743576, 0.18670043349266052, 0.18658491969108582, 0.1864704042673111, 0.18635709583759308, 0.18624494969844818, 0.18613377213478088, 0.1860235184431076, 0.18591418862342834, 0.18580633401870728, 0.1856994777917862, 0.18559353053569794, 0.18548865616321564, 0.18538466095924377, 0.18528150022029877, 0.18517906963825226, 0.18507744371891022, 0.18497654795646667, 0.1848764270544052, 0.18477699160575867]",,
